episode,seed,episode_length,reward,completed_task,timed_success
13,12,18,22.73,1,1
53,52,44,22.690000000000005,1,1
58,57,126,21.545000000000005,1,0
72,71,26,22.265,1,1
115,114,17,22.78,1,1
126,125,71,22.20000000000001,1,1
141,140,45,22.1,1,1
328,327,16,22.655,1,1
378,377,32,22.840000000000003,1,1
380,379,24,22.970000000000002,1,1
