episode,reward,episode_length,completed_task,success,started_task,started_on_time,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate
246,22.0,46,1,1,1,1,0.9715447154471545,0.9715447154471545,1.0,1.0
247,22.0,18,1,1,1,1,0.97165991902834,0.97165991902834,1.0,1.0
248,22.0,29,1,1,1,1,0.9717741935483871,0.9717741935483871,1.0,1.0
249,22.0,13,1,1,1,1,0.9718875502008032,0.9718875502008032,1.0,1.0
250,22.0,22,1,1,1,1,0.972,0.972,1.0,1.0
251,22.0,24,1,1,1,1,0.9721115537848606,0.9721115537848606,1.0,1.0
252,22.0,19,1,1,1,1,0.9722222222222222,0.9722222222222222,1.0,1.0
253,22.0,17,1,1,1,1,0.9723320158102767,0.9723320158102767,1.0,1.0
254,22.0,15,1,1,1,1,0.9724409448818898,0.9724409448818898,1.0,1.0
255,22.0,27,1,1,1,1,0.9725490196078431,0.9725490196078431,1.0,1.0
256,22.0,27,1,1,1,1,0.97265625,0.97265625,1.0,1.0
257,22.0,77,1,0,1,1,0.9688715953307393,0.9688715953307393,1.0,1.0
258,22.0,39,1,1,1,1,0.9689922480620154,0.9689922480620154,1.0,1.0
259,22.0,32,1,1,1,1,0.9691119691119691,0.9691119691119691,1.0,1.0
260,22.0,25,1,1,1,1,0.9692307692307692,0.9692307692307692,1.0,1.0
261,22.0,16,1,1,1,1,0.9693486590038314,0.9693486590038314,1.0,1.0
262,22.0,43,1,1,1,1,0.9694656488549618,0.9694656488549618,1.0,1.0
263,22.0,16,1,1,1,1,0.9695817490494296,0.9695817490494296,1.0,1.0
264,22.0,18,1,1,1,1,0.9696969696969697,0.9696969696969697,1.0,1.0
265,22.0,18,1,1,1,1,0.969811320754717,0.969811320754717,1.0,1.0
266,22.0,36,1,1,1,1,0.9699248120300752,0.9699248120300752,1.0,1.0
267,22.0,13,1,1,1,1,0.9700374531835206,0.9700374531835206,1.0,1.0
268,22.0,99,1,0,1,1,0.9664179104477612,0.9664179104477612,1.0,1.0
269,22.0,19,1,1,1,1,0.966542750929368,0.966542750929368,1.0,1.0
270,22.0,30,1,1,1,1,0.9666666666666667,0.9666666666666667,1.0,1.0
271,22.0,14,1,1,1,1,0.966789667896679,0.966789667896679,1.0,1.0
272,22.0,16,1,1,1,1,0.9669117647058824,0.9669117647058824,1.0,1.0
273,22.0,14,1,1,1,1,0.967032967032967,0.967032967032967,1.0,1.0
274,22.0,17,1,1,1,1,0.9671532846715328,0.9671532846715328,1.0,1.0
275,22.0,38,1,1,1,1,0.9672727272727273,0.9672727272727273,1.0,1.0
276,22.0,26,1,1,1,1,0.967391304347826,0.967391304347826,1.0,1.0
277,22.0,16,1,1,1,1,0.9675090252707581,0.9675090252707581,1.0,1.0
278,22.0,25,1,1,1,1,0.9676258992805755,0.9676258992805755,1.0,1.0
279,22.0,31,1,1,1,1,0.967741935483871,0.967741935483871,1.0,1.0
280,22.0,19,1,1,1,1,0.9678571428571429,0.9678571428571429,1.0,1.0
281,22.0,36,1,1,1,1,0.9679715302491103,0.9679715302491103,1.0,1.0
282,22.0,9,1,1,1,1,0.9680851063829787,0.9680851063829787,1.0,1.0
283,22.0,23,1,1,1,1,0.9681978798586572,0.9681978798586572,1.0,1.0
284,22.0,29,1,1,1,1,0.9683098591549296,0.9683098591549296,1.0,1.0
285,22.0,12,1,1,1,1,0.968421052631579,0.968421052631579,1.0,1.0
286,22.0,17,1,1,1,1,0.9685314685314685,0.9685314685314685,1.0,1.0
287,22.0,22,1,1,1,1,0.9686411149825784,0.9686411149825784,1.0,1.0
288,22.0,13,1,1,1,1,0.96875,0.96875,1.0,1.0
289,22.0,28,1,1,1,1,0.9688581314878892,0.9688581314878892,1.0,1.0
290,22.0,22,1,1,1,1,0.9689655172413794,0.9689655172413794,1.0,1.0
291,22.0,18,1,1,1,1,0.9690721649484536,0.9690721649484536,1.0,1.0
292,22.0,15,1,1,1,1,0.9691780821917808,0.9691780821917808,1.0,1.0
293,22.0,17,1,1,1,1,0.9692832764505119,0.9692832764505119,1.0,1.0
294,22.0,21,1,1,1,1,0.9693877551020408,0.9693877551020408,1.0,1.0
295,22.0,23,1,1,1,1,0.9694915254237289,0.9694915254237289,1.0,1.0
296,22.0,14,1,1,1,1,0.9695945945945946,0.9695945945945946,1.0,1.0
297,22.0,17,1,1,1,1,0.9696969696969697,0.9696969696969697,1.0,1.0
298,22.0,18,1,1,1,1,0.9697986577181208,0.9697986577181208,1.0,1.0
299,22.0,15,1,1,1,1,0.9698996655518395,0.9698996655518395,1.0,1.0
300,22.0,51,1,1,1,1,0.97,0.97,1.0,1.0
301,22.0,18,1,1,1,1,0.9700996677740864,0.9700996677740864,1.0,1.0
302,22.0,22,1,1,1,1,0.9701986754966887,0.9701986754966887,1.0,1.0
303,22.0,14,1,1,1,1,0.9702970297029703,0.9702970297029703,1.0,1.0
304,22.0,30,1,1,1,1,0.9703947368421053,0.9703947368421053,1.0,1.0
305,22.0,37,1,1,1,1,0.9704918032786886,0.9704918032786886,1.0,1.0
306,22.0,50,1,1,1,1,0.9705882352941176,0.9705882352941176,1.0,1.0
307,22.0,79,1,0,1,1,0.9674267100977199,0.9674267100977199,1.0,1.0
308,22.0,18,1,1,1,1,0.9675324675324676,0.9675324675324676,1.0,1.0
309,22.0,54,1,1,1,1,0.9676375404530745,0.9676375404530745,1.0,1.0
310,22.0,20,1,1,1,1,0.967741935483871,0.967741935483871,1.0,1.0
311,22.0,21,1,1,1,1,0.9678456591639871,0.9678456591639871,1.0,1.0
312,22.0,16,1,1,1,1,0.967948717948718,0.967948717948718,1.0,1.0
313,22.0,50,1,1,1,1,0.9680511182108626,0.9680511182108626,1.0,1.0
314,22.0,38,1,1,1,1,0.9681528662420382,0.9681528662420382,1.0,1.0
315,22.0,47,1,1,1,1,0.9682539682539683,0.9682539682539683,1.0,1.0
316,22.0,21,1,1,1,1,0.9683544303797469,0.9683544303797469,1.0,1.0
317,22.0,26,1,1,1,1,0.9684542586750788,0.9684542586750788,1.0,1.0
318,22.0,18,1,1,1,1,0.9685534591194969,0.9685534591194969,1.0,1.0
319,22.0,52,1,1,1,1,0.9686520376175548,0.9686520376175548,1.0,1.0
320,22.0,18,1,1,1,1,0.96875,0.96875,1.0,1.0
321,22.0,27,1,1,1,1,0.9688473520249221,0.9688473520249221,1.0,1.0
322,22.0,21,1,1,1,1,0.968944099378882,0.968944099378882,1.0,1.0
323,22.0,19,1,1,1,1,0.9690402476780186,0.9690402476780186,1.0,1.0
324,22.0,44,1,1,1,1,0.9691358024691358,0.9691358024691358,1.0,1.0
325,22.0,19,1,1,1,1,0.9692307692307692,0.9692307692307692,1.0,1.0
326,22.0,21,1,1,1,1,0.9693251533742331,0.9693251533742331,1.0,1.0
327,22.0,32,1,1,1,1,0.9694189602446484,0.9694189602446484,1.0,1.0
328,22.0,98,1,0,1,1,0.9664634146341463,0.9664634146341463,1.0,1.0
329,22.0,31,1,1,1,1,0.9665653495440729,0.9665653495440729,1.0,1.0
330,22.0,31,1,1,1,1,0.9666666666666667,0.9666666666666667,1.0,1.0
331,22.0,15,1,1,1,1,0.9667673716012085,0.9667673716012085,1.0,1.0
332,22.0,38,1,1,1,1,0.9668674698795181,0.9668674698795181,1.0,1.0
333,22.0,17,1,1,1,1,0.9669669669669669,0.9669669669669669,1.0,1.0
