episode,online_max_logit,offline_max_logit
1,3.5172080993652344,3.2818384170532227
2,3.26460599899292,3.26460599899292
3,3.0406346321105957,2.6735007762908936
4,3.573821544647217,3.573821544647217
5,4.601566791534424,4.601566791534424
6,4.757112979888916,4.76861047744751
7,5.100936412811279,5.100936412811279
8,3.373204469680786,3.373204469680786
9,3.2282750606536865,3.2282750606536865
10,5.540971279144287,5.540971279144287
11,4.365609645843506,4.365609645843506
12,4.546374320983887,4.546374320983887
13,4.383742332458496,4.383742332458496
14,4.27478551864624,4.15988302230835
15,4.334262371063232,4.334262371063232
16,3.531160354614258,4.162282466888428
17,3.6018075942993164,3.918489456176758
18,4.627309799194336,4.441608428955078
19,4.871206283569336,4.871206283569336
20,4.197471618652344,4.197471618652344
21,5.423403739929199,5.423403739929199
22,3.9974076747894287,3.9974076747894287
23,3.6267952919006348,4.378978729248047
24,3.0023977756500244,3.0023977756500244
25,3.4678916931152344,3.361130952835083
26,4.905509948730469,4.829365253448486
27,3.303882122039795,3.303882122039795
28,2.817965507507324,2.817965507507324
29,2.9542386531829834,3.0854153633117676
30,4.0250020027160645,4.0250020027160645
31,4.230740547180176,4.230740547180176
32,4.005085468292236,4.083245277404785
33,3.8142547607421875,3.1652042865753174
34,4.981022834777832,4.981022834777832
35,2.1625115871429443,2.6309924125671387
36,4.623939037322998,4.7298903465271
37,4.183224201202393,4.183224201202393
38,4.146185874938965,4.146185874938965
39,3.7360823154449463,3.309152603149414
40,4.169107437133789,4.169107437133789
41,2.9766509532928467,3.1389694213867188
42,3.4087023735046387,3.4087023735046387
43,4.220912933349609,4.091862678527832
44,2.9423043727874756,3.1070048809051514
45,4.2400994300842285,4.386348247528076
46,3.6831135749816895,3.6831135749816895
47,4.055771350860596,4.055771350860596
48,4.32474946975708,4.32474946975708
49,3.201571464538574,3.201571464538574
50,4.563879489898682,4.563879489898682
51,3.6134016513824463,3.6134016513824463
52,3.5253474712371826,3.5253474712371826
53,4.311013698577881,4.311013698577881
54,3.7848033905029297,3.7848033905029297
55,4.031772136688232,4.031772136688232
56,4.019669055938721,4.019669055938721
57,3.84694504737854,3.608877658843994
58,4.81299352645874,4.81299352645874
59,2.8109853267669678,2.8109853267669678
60,3.467684268951416,3.467684268951416
61,3.1335930824279785,3.238130807876587
62,3.170281171798706,3.170281171798706
63,5.30839729309082,5.30839729309082
64,4.249290466308594,4.249290466308594
65,3.4370312690734863,3.4370312690734863
66,3.840085983276367,3.840085983276367
67,3.2069473266601562,3.1591427326202393
68,3.7722928524017334,3.587252378463745
69,3.8929309844970703,3.8929309844970703
70,4.018337726593018,4.018337726593018
71,3.4416427612304688,3.4416427612304688
72,3.557551860809326,3.557551860809326
73,3.124648332595825,3.293489933013916
74,4.534390449523926,4.778924465179443
75,3.3478615283966064,3.4448680877685547
76,4.735604763031006,4.735604763031006
77,3.4048757553100586,3.2042338848114014
78,3.9030256271362305,3.9030256271362305
79,3.1018335819244385,2.9813053607940674
80,3.5710113048553467,3.5710113048553467
81,3.9492576122283936,3.9492576122283936
82,2.6802871227264404,2.641281843185425
83,3.7285878658294678,3.7285878658294678
84,3.158952474594116,3.166159152984619
85,3.1148009300231934,3.3160529136657715
86,3.3533334732055664,3.513606548309326
87,3.7212274074554443,3.7212274074554443
88,3.1164305210113525,3.127434730529785
89,4.59425687789917,4.59425687789917
90,3.301041841506958,3.301041841506958
91,4.044483661651611,4.044483661651611
92,3.1454720497131348,3.35854434967041
93,3.7472567558288574,3.7472567558288574
94,3.618788242340088,3.618788242340088
95,2.639364004135132,2.83345103263855
96,3.021510362625122,3.002898693084717
97,3.515164852142334,3.515164852142334
98,2.8888766765594482,2.970350742340088
99,4.367602348327637,4.367602348327637
100,3.6826906204223633,3.6826906204223633
101,4.053449630737305,4.053449630737305
102,3.5441112518310547,3.5441112518310547
103,4.055042266845703,4.055042266845703
104,2.69598126411438,2.69598126411438
105,3.0106711387634277,3.0039355754852295
106,3.876819610595703,3.605330467224121
107,4.088021278381348,4.088021278381348
108,5.090775012969971,5.090775012969971
109,4.209334373474121,4.209334373474121
110,3.219836950302124,3.219836950302124
111,4.415475368499756,4.415475368499756
112,4.205168724060059,4.205168724060059
113,3.173149824142456,3.3824305534362793
114,4.219696044921875,4.219696044921875
115,3.407043218612671,3.407043218612671
