episode,seed,episode_length,reward,completed_task,timed_success
16,15,121,20.915,1,0
17,16,200,0.39500000000000557,0,0
45,44,109,22.115000000000006,1,0
48,47,40,22.43,1,1
217,216,79,21.9,1,1
280,279,80,21.995000000000005,1,1
303,302,111,21.2,1,0
347,346,97,21.565,1,0
380,379,55,22.480000000000004,1,1
457,456,47,22.475000000000005,1,1
